,SMILES,Substrate
106,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1
107,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,1
108,COC(=O)c1ccccc1-c1c2ccc(N)cc2[o+]c2cc(N)ccc12,1
109,Cc1cc(/N=N/c2c(O)ccc3ccccc23)ccc1/N=N/c1cccc([N+](C)(C)C)c1,1
110,CN(C)c1ccc(/C=C/C=c2/c3ccccc3n3c2cc(-c2ccccc2)[n+]3C)cc1,1
111,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1
112,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,1
113,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,1
114,N/C(=N/O)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,1
115,CO[C@@H]1[C@H](C)O[C@H](O[C@H]2C[C@@](C)(O)Cc3cc4c(c(O)c32)C(=O)c2c(O)cc3c(c2C4=O)O[C@@H]2O[C@@]3(C)[C@@H](O)[C@@H](N(C)C)[C@@H]2O)[C@H](OC)[C@@]1(C)OC,1
116,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,1
117,Cc1c2ccc3ccccc3c2c[n+]2ccccc12,1
118,COc1ccc([C@](C#N)(CCCN)C(C)C)cc1OC,1
119,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,1
120,Cc1ccc(/C(=C/CN2CCCC2)c2cccc(/C=C/C(=O)N3CCCC3)n2)cc1,1
121,CC(C)[n+]1c2c(n(C)c1/C=C/c1ccccc1)C(=O)c1ccccc1C2=O,1
122,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,1
123,CC[C@@H](C)[C@@H]1NC(=O)[C@@H](NC(=O)c2c3nc4c(C(=O)N[C@@H]5C(=O)N[C@@H]([C@H](C)CC)C(=O)N6CCC[C@H]6C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H]5C)ccc(C)c4oc-3c(C)c(=O)c2O)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,1
124,CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,1
125,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@H](C)OC(=O)[C@@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,1
126,CS[C@H]1SC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c3cnc4ccccc4n3)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)OC[C@@H](NC(=O)c1cnc3ccccc3n1)C(=O)N[C@@H](C)C(=O)N2C,1
127,Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCCc2ccccc2)c1=O,1
128,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,1
129,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,1
130,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,1
131,COc1ccc2c(c1)c1nn(CCN(C)C)c3ccc4c(=O)n(CCN(C)C)c(=O)n2c4c13,1
132,COc1cc2c(cc1OC)CN(CCCC1=CCCc3c(OC)cccc31)CC2,1
133,COc1cc2c(cc1Oc1c(Oc3c(O)c(OC)cc4c3[C@@H](CC(C)C)N(C)CC4)c(OC)cc3c1[C@@H](CC(C)C)N(C)CC3)[C@@H](CC(C)C)N(C)CC2,1
134,O=c1c(Cc2ccccc2)nc2c(CC3CCCC3)[nH]c(-c3ccc(O)cc3)cn1-2,1
135,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
136,COc1cc2c(cc1OC)CN(CCC=C1CCCCC1)CC2,1
137,CC(=O)O[C@@H]1[C@@H](O)[C@H](O[C@H]2[C@H](OC(=O)[C@H]3CC[C@H]4[C@@H](C3)O[C@@]3(C[C@H](OC(=O)/C=C/c5ccccc5)[C@H](C)CO3)[C@]43CO3)O[C@H](C)[C@@H](O)[C@@H]2OC(C)=O)O[C@H](C)[C@H]1O,1
138,CN(C)c1ccc2c(-c3ccc(C(=S)N4CCCCC4)s3)c3ccc(N(C)C)cc3[s+]c2c1,1
